"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","0.33uF","","","","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"D1,D2","2","BYV79-200","","","","Package_TO_SOT_THT:TO-220-2_Vertical","http://pdf.datasheetcatalog.com/datasheet/philips/BYV79-100.pdf"
"D3,D4","2","12V","","","","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"J1,J2","2","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"L1,L2","2","200uH","","","","Inductor_THT:L_Radial_D13.5mm_P7.00mm_Fastron_09HCP",""
"Q1,Q2","2","IRFP4468PbF","","","","Package_TO_SOT_THT:TO-247-3_Vertical","https://www.infineon.com/dgdl/irfp4468pbf.pdf?fileId=5546d462533600a40153562c73472019"
"R1,R2","2","470","","","","Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal",""
"R3,R4","2","10k","","","","Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal",""
